,time,prophet_pred,arima_pred,values,precinct_number
119,2023-06-01,21523.54103268469,29718.183636531983,20710.0,14
120,2023-07-01,24101.646068728733,24587.40813020174,,14
121,2023-08-01,30854.471392872496,26719.452998113524,,14
122,2023-09-01,28118.325129715584,27891.786465767455,,14
123,2023-10-01,31478.02780572032,28536.409747418944,,14
124,2023-11-01,27143.62755918117,28890.864505141337,,14
125,2023-12-01,18411.803355669806,29085.7662079625,,14
126,2024-01-01,26205.878562054306,29192.935523467477,,14
127,2024-02-01,24177.025429789097,29251.86400905563,,14
128,2024-03-01,28728.41099999017,29284.2666272617,,14
129,2024-04-01,24644.857981219997,29302.08364149733,,14
130,2024-05-01,25173.206649851843,29311.88056575369,,14
131,2024-06-01,20981.79325566761,29317.267535961808,,14
108,2022-07-01,13242.633500085663,14278.50907648796,13264.0,17
109,2022-08-01,16758.632488717478,14390.206877591609,14862.0,17
110,2022-09-01,14343.819906418736,15318.560726193167,12862.0,17
111,2022-10-01,17071.376802230956,14098.19056072925,15105.0,17
112,2022-11-01,14768.7843836885,15412.049124457346,13936.0,17
113,2022-12-01,10661.519004518172,14697.491024491952,8355.0,17
114,2023-01-01,14400.88524888102,11308.15747654948,10431.0,17
115,2023-02-01,12098.8640236563,12467.51665882728,12415.0,17
116,2023-03-01,14945.253952157776,13600.113662173158,13589.0,17
117,2023-04-01,12682.396991689751,14270.93501020762,11171.0,17
118,2023-05-01,12624.12710868336,12791.483615828103,12970.0,17
119,2023-06-01,10659.83543581596,13825.5532541925,9975.0,17
120,2023-07-01,12652.617433857336,11992.736588645774,,17
121,2023-08-01,15995.263855729336,13146.265703683854,,17
122,2023-09-01,13563.727603157631,13805.73207145865,,17
123,2023-10-01,16390.729711258267,14182.74543380601,,17
124,2023-11-01,14089.624934427751,14398.28193776462,,17
125,2023-12-01,9952.248518159711,14521.50299351038,,17
126,2024-01-01,13799.192021942596,14591.94780587504,,17
127,2024-02-01,11367.960765947511,14632.220724809702,,17
128,2024-03-01,14512.743588064766,14655.244535152498,,17
129,2024-04-01,11839.802761862222,14668.407123232122,,17
130,2024-05-01,11892.041743893684,14675.932103779403,,17
131,2024-06-01,10069.621507639193,14680.234094534904,,17
108,2022-07-01,21757.810319162167,23110.0,24516.0,18
109,2022-08-01,28332.15919469092,24516.0,27964.0,18
110,2022-09-01,25987.077308803706,27964.0,23029.0,18
111,2022-10-01,29389.35131408239,23029.0,24743.0,18
112,2022-11-01,25631.63280111088,24743.0,24094.0,18
113,2022-12-01,19054.641113043395,24094.0,12100.0,18
114,2023-01-01,24370.06509500845,12100.0,18472.0,18
115,2023-02-01,21879.26378460401,18472.0,22119.0,18
116,2023-03-01,25895.9472511164,22119.0,23448.0,18
117,2023-04-01,23273.765626116736,23448.0,21418.0,18
118,2023-05-01,23105.17081372648,21418.0,22117.0,18
119,2023-06-01,18493.55835744922,22117.0,16666.0,18
120,2023-07-01,20868.519176288813,16666.0,,18
121,2023-08-01,27175.31276525452,16666.0,,18
122,2023-09-01,24812.717574485112,16666.0,,18
123,2023-10-01,28380.27092737092,16666.0,,18
124,2023-11-01,24586.116576651708,16666.0,,18
125,2023-12-01,18060.899613999874,16666.0,,18
126,2024-01-01,23448.7248599696,16666.0,,18
127,2024-02-01,20763.182037730327,16666.0,,18
128,2024-03-01,25256.50052514711,16666.0,,18
129,2024-04-01,22017.98045577144,16666.0,,18
130,2024-05-01,21945.88735083873,16666.0,,18
131,2024-06-01,17572.97493288345,16666.0,,18
108,2022-07-01,31795.77121369221,34790.64150023404,37881.0,19
109,2022-08-01,40081.42780251818,36831.35632444994,38761.0,19
110,2022-09-01,39027.60673809855,38918.28938101456,30929.0,19
111,2022-10-01,43012.99991832244,33921.567601980474,35596.0,19
112,2022-11-01,37474.949654771845,34439.93014516192,36786.0,19
113,2022-12-01,27836.308315308084,37334.257041916535,27717.0,19
114,2023-01-01,37895.88233672263,32538.447445879603,37215.0,19
115,2023-02-01,31243.7353355051,35584.454384911776,38152.0,19
116,2023-03-01,38434.4564499702,38696.39697094686,48243.0,19
